task,gpt-5.6-sol(xhigh) 2026-07-16,claude-opus-4.7 2026-04-22,claude-opus-4.6 2026-04-23
adaptive-rejection-sampler,1,0,0
bn-fit-modify,1,1,1
break-filter-js-from-html,1,0,1
build-cython-ext,1,1,0
build-pmars,1,1,0
build-pov-ray,1,1,1
caffe-cifar-10,0,0,0
cancel-async-tasks,1,1,0
chess-best-move,0,0,0
circuit-fibsqrt,1,1,1
cobol-modernization,0,1,0
code-from-image,1,1,1
compile-compcert,0,0,0
configure-git-webserver,0,0,0
constraints-scheduling,1,1,1
count-dataset-tokens,0,0,1
crack-7z-hash,1,1,1
custom-memory-heap-crash,1,1,1
db-wal-recovery,0,0,0
distribution-search,1,1,1
dna-assembly,0,0,0
dna-insert,0,1,0
extract-elf,1,0,0
extract-moves-from-video,0,0,0
feal-differential-cryptanalysis,1,1,1
feal-linear-cryptanalysis,1,0,1
filter-js-from-html,0,0,0
financial-document-processor,1,1,1
fix-code-vulnerability,1,1,1
fix-git,1,1,1
fix-ocaml-gc,1,1,1
gcode-to-text,1,0,0
git-leak-recovery,1,1,1
git-multibranch,1,1,1
gpt2-codegolf,1,0,0
headless-terminal,1,1,1
hf-model-inference,1,1,0
install-windows-3-11,0,0,0
kv-store-grpc,1,1,0
large-scale-text-editing,1,1,1
largest-eigenval,1,0,0
llm-inference-batching-scheduler,1,1,1
log-summary-date-ranges,1,1,0
mailman,1,1,1
make-doom-for-mips,0,0,0
make-mips-interpreter,0,1,0
mcmc-sampling-stan,1,1,1
merge-diff-arc-agi-task,1,0,1
model-extraction-relu-logits,0,0,0
modernize-scientific-stack,1,1,1
mteb-leaderboard,1,0,0
mteb-retrieve,1,0,0
multi-source-data-merger,1,1,1
nginx-request-logging,1,1,1
openssl-selfsigned-cert,1,1,1
overfull-hbox,1,1,0
password-recovery,1,1,1
path-tracing,1,1,1
path-tracing-reverse,1,1,1
polyglot-c-py,0,0,0
polyglot-rust-c,1,0,0
portfolio-optimization,1,1,1
protein-assembly,1,0,0
prove-plus-comm,1,0,0
pypi-server,1,1,1
pytorch-model-cli,1,1,0
pytorch-model-recovery,1,0,1
qemu-alpine-ssh,1,0,0
qemu-startup,1,1,1
query-optimize,1,1,0
raman-fitting,0,0,0
regex-chess,1,0,1
regex-log,1,1,1
reshard-c4-data,1,1,1
rstan-to-pystan,1,1,0
sam-cell-seg,0,0,0
sanitize-git-repo,0,1,1
schemelike-metacircular-eval,0,1,1
sparql-university,1,0,0
sqlite-db-truncate,1,1,1
sqlite-with-gcov,1,1,0
torch-pipeline-parallelism,1,1,0
torch-tensor-parallelism,1,0,0
train-fasttext,0,0,0
tune-mjcf,1,1,0
video-processing,0,0,0
vulnerable-secret,1,1,1
winning-avg-corewars,1,1,0
write-compressor,1,1,0
