# trial -> todo manifest; the backend conversation is the ground truth for
# 'which step did the AI take and why'. Fetch with the owning pool account.
# run task trial reward todoId deviceId
tb21-gpt-5.6-sol-xhigh-ultra__batch01 adaptive-rejection-sampler adaptive-rejection-sampler__EETM8zP 0 307908da-1193-430d-90c0-3ebeb7e65390 88d4b1ad-49c9-44d1-8ed8-78951bab2692
tb21-gpt-5.6-sol-xhigh-ultra__batch01 bn-fit-modify bn-fit-modify__ufsDGzq 1 0cb422cd-1d33-4b68-a651-de6bbb428b59 8dd91364-ea52-4ad2-a91f-f1a2556d2e3c
tb21-gpt-5.6-sol-xhigh-ultra__batch01 break-filter-js-from-html break-filter-js-from-html__EELig53 0 c1f8196a-a83d-4645-af46-4cc1de5ea9aa 364f12ee-b590-4080-89ff-f1e17a058829
tb21-gpt-5.6-sol-xhigh-ultra__batch01 build-cython-ext build-cython-ext__5Sh5w5c 0 4135d98d-4eb2-4f69-8a73-4391974a5a46 b925a86f-f23b-41e0-8e2a-e1e7d51a380d
tb21-gpt-5.6-sol-xhigh-ultra__batch01 build-pmars build-pmars__vt27dvB 1 0d949541-09e5-494d-8682-82880dd167cf 88d4b1ad-49c9-44d1-8ed8-78951bab2692
tb21-gpt-5.6-sol-xhigh-ultra__batch01 build-pov-ray build-pov-ray__dVALRGb 0 31b34441-846c-4019-9d27-e9275844b178 b6388e60-66a6-483f-b352-f19564d5952e
tb21-gpt-5.6-sol-xhigh-ultra__batch01 caffe-cifar-10 caffe-cifar-10__dvtdEPB 0 75737423-618e-4f68-8c10-84254ed7f859 8dd91364-ea52-4ad2-a91f-f1a2556d2e3c
tb21-gpt-5.6-sol-xhigh-ultra__batch01 cancel-async-tasks cancel-async-tasks__wRejQdN 1 9e097969-69a6-457d-aeb6-5bdb657215eb 364f12ee-b590-4080-89ff-f1e17a058829
tb21-gpt-5.6-sol-xhigh-ultra__batch01 chess-best-move chess-best-move__rUu3txP 1 ce88320f-794b-4fe1-b8d6-799d3b6af135 bc908ee6-dfcb-44d5-8cfd-812a87990414
tb21-gpt-5.6-sol-xhigh-ultra__batch01 circuit-fibsqrt circuit-fibsqrt__t8Wg8xP 0 ceb2e74d-0a02-4b10-9d1f-456c0e9ed05b bc908ee6-dfcb-44d5-8cfd-812a87990414
tb21-gpt-5.6-sol-xhigh-ultra__batch02 code-from-image code-from-image__jZrZwNM 1 6dd1b613-96a1-42af-879d-e8ad60f2d986 b925a86f-f23b-41e0-8e2a-e1e7d51a380d
tb21-gpt-5.6-sol-xhigh-ultra__batch02 configure-git-webserver configure-git-webserver__XkHYC3Z 1 37f16b3b-f329-43dc-b88f-e91d79d9daab 8dd91364-ea52-4ad2-a91f-f1a2556d2e3c
tb21-gpt-5.6-sol-xhigh-ultra__batch02 constraints-scheduling constraints-scheduling__7FcCk5S 1 2ce54d76-92a3-4758-b79e-6fc886178c34 b925a86f-f23b-41e0-8e2a-e1e7d51a380d
tb21-gpt-5.6-sol-xhigh-ultra__batch02 count-dataset-tokens count-dataset-tokens__kEmXQsV 1 c3b7c16e-8c5e-4bb8-9fdf-9b11d029779f b925a86f-f23b-41e0-8e2a-e1e7d51a380d
tb21-gpt-5.6-sol-xhigh-ultra__batch02 crack-7z-hash crack-7z-hash__Z8TwhpF 1 190c33be-7db8-4cd1-b8df-427a691272ab 88d4b1ad-49c9-44d1-8ed8-78951bab2692
tb21-gpt-5.6-sol-xhigh-ultra__batch02 db-wal-recovery db-wal-recovery__hJ2Px3Z 1 - bc908ee6-dfcb-44d5-8cfd-812a87990414
tb21-gpt-5.6-sol-xhigh-ultra__batch02 distribution-search distribution-search__FRt2ytP 1 839388be-3999-46f3-b05d-a97ceb0a68c6 8dd91364-ea52-4ad2-a91f-f1a2556d2e3c
